"individual_director"
"Kirsten Johnson"
"Julien Leclercq"
"Mike Flanagan"
"Robert Cullen"
"José Luis Ucha"
"Haile Gerima"
"Andy Devonshire"
"Theodore Melfi"
"Kongkiat Komesiri"
"Christian Schwochow"
"Bruno Garotti"
"Pedro de Echave García"
"Pablo Azorín Williams"
"Sergio Leone"
"Adam Salky"
"Olivier Megaton"
"K.S. Ravikumar"
"Alex Woo"
"Stanley Moore"
"S. Shankar"
"Rajiv Menon"
"Dennis Dugan"
"Scott Stewart"
"Robert Luketic"
"Ashwiny Iyer Tiwari"
"Abhishek Chaubey"
"Saket Chaudhary"
"Daniel Sandu"
"Cédric Jimenez"
"George Nolfi"
"Steven Spielberg"
"Jeannot Szwarc"
"Joe Alves"
"Joseph Sargent"
"Tyler Greco"
"Daniel Espinosa"
"Bunmi Ajakaiye"
"Antoine Fuqua"
"Toshiya Shinohara"
"Toshiya Shinohara"
"Toshiya Shinohara"
"Toshiya Shinohara"
"Masahiko Murata"
"Hajime Kamegaki"
"Masahiko Murata"
"Hajime Kamegaki"
"Masahiko Murata"
"Hirotsugu Kawasaki"
"Toshiyuki Tsuru"
"Tensai Okamura"
"David Yarovesky"
"Hanns-Bruno Kammertöns"
"Vanessa Nöcker"
"Michael Wech"
"David A. Vargas"
"Graham Townsley"
"Kemi Adetiba"
"Ben Simms"
"Prakash Satam"
"Delhiprasad Deenadayalan"
"Delhiprasad Deenadayalan"
"Tomer Eshed"
"Cedric Nicolas-Troyan"
"JJC Skillz"
"Funke Akindele"
"Thomas Sieben"
"Marcus Clarke"
"Alice Waddington"
"Mona Achache"
"Patricia Tourancheau"
"Alexis Almström"
"Raja Gosnell"
"Stephen Kijak"
"Chapman Way"
"Maclain Way"
"Jason Hehir"
"Yemi Amodu"
"Lijo Jose Pellissery"
"David de Vos"
"Luis Alfaro"
"Javier Gómez Santander"
"Sara Colangelo"
"Stephen Herek"
"Rahul Rawail"
"Jane Campion"
"Nagesh Kukunoor"
"Luke Holland"
"Shanker Raman"
"JP Habac"
"Jane Campion"
"Vidhu Vinod Chopra"
"Mark Rosman"
"Gilles Paquet-Brenner"
"Lasse Hallström"
"Scott Pleydell-Pearce"
"Ridley Scott"
"Neill Blomkamp"
"Phillip Noyce"
"Renny Harlin"
"Anthony Minghella"
"Simon Wincer"
"Lasse Hallström"
"Spike Lee"
"Sebastián Schindel"
"Steven C. Miller"
"Richard LaGravenese"
"Martin Campbell"
"Reginald Hudlin"
"George Jackson"
"Doug McHenry"
"Eric Meza"
"Paula Apsell"
"Kirk Wolfinger"
"Gerhard Mostert"
"Michael Martin"
"Michael Rymer"
"Andrew Lau Wai-keung"
"Alan Mak"
"Brett Weiner"
"Jim Henson"
"Gary Winick"
"Danishka Esterhazy"
"Troy Byer"
"Pang Ho-cheung"
"Tim Burton"
"Reginald Hudlin"
"David Zucker"
"Kinka Usher"
"Matthew O'Callaghan"
"Todd Wilderman"
"Bobby Farrelly"
"Peter Farrelly"
"Wolfgang Petersen"
"Peter Spirer"
"Michael Carney"
"Richard Linklater"
"Amy Rice"
"Antoine Fuqua"
"Randal Kleiser"
"Michael Ritchie"
"J. Lee Thompson"
"Evan Goldberg"
"Seth Rogen"
"Tom Shadyac"
"Peter Segal"
"Malcolm D. Lee"
"Wolfgang Petersen"
"Chapman Way"
"Maclain Way"
"Ramzy Bedia"
"Éric Judor"
"Sharan Koppisetty"
"Taylor Sheridan"
"Sachin Yardi"
"Saurabh Kabra"
"Mark Waters"
"Kemi Adetiba"
"Partho Mitra"
"Santram Varma"
"Anil V. Kumar"
"Anurag Basu"
"Sangeeth Sivan"
"Umesh Ghadge"
"Sachin Yardi"
"David Dhawan"
"Dibakar Banerjee"
"Apoorva Lakhia"
"Milan Luthria"
"Milan Luthria"
"Pawan Kripalani"
"Bhushan Patel"
"Magnus Martens"
"Apoorva Lakhia"
"Raj Nidimoru"
"Krishna D.K."
"Milan Luthria"
"Joshua Rofé"
"Brad Anderson"
"Mauricio Dias"
"Tatiana Villela"
"Angel Kristi Williams"
"Roger Donaldson"
"Christopher Alender"
"Rush Sturges"
"David Oyelowo"
"Mark Lo"
"Crystal Moselle"
"Rathindran R Prasad"
"Rathindran R Prasad"
"Rathindran R Prasad"
"Rathindran R Prasad"
"Han Kwang Il"
"Karim El Shenawy"
"Yin Chen-hao"
"Brian Andrew Mendoza"
"Dave Needham"
"Veronica Velasco"
"Drake Doremus"
"Miguel Alexandre"
"Mani Ratnam"
"Michael Harte"
"Tosin Igho"
"Mani Ratnam"
"Alice Filippi"
"Paakhi Tyrewala"
"Bruno Garotti"
"Laura Brownson"
"Steve Brill"
"Jane Campion"
"Moses Inwang"
"Ferdinando Cito Filomarino"
"Juan Carlos Medina"
"Inma Torrente"
"Julián Gaviria"
"Steven Yamamoto"
"Charles Uwagbai"
"Alex Ranarivelo"
"Julián Hernández"
"Sam Hobkinson"
"Vince Marcello"
"Jonathan Teplitzky"
"Sakon Tiacharoen"
"Floyd Russ"
"Dustin Hoffman"
"Adze Ugah"
"Hideaki Takizawa"
"Quoc Bao Tran"
"Bejoy Nambiar"
"Priyadarshan"
"Karthik Narain"
"Vasanth Sai"
"Karthik Subbaraj"
"Arvind Swamy"
"Rathindran R Prasad"
"Sarjun"
"Gautham Vasudev Menon"
"Kayode Kasum"
"Just Philippot"
"Kirk DeMicco"
"Brandon Jeffords"
"Rohit Shetty"
"Cavi Borges"
"Luciano Vidigal"
"Alejandro Doria"
"Laura Fairrie"
"Marcelo Piñeyro"
"Izu Ojukwu"
"Peter Winther"
"Susan Lacy"
"Billy Corben"
"James Mangold"
"Chineze Anyaene"
"Hsu Fu-chun"
"Kristine Stolakis"
"Eva Müller"
"Michael Schmitt"
"Brian Levant"
"Rod Daniel"
"Robert Zemeckis"
"Todor Chapkanov"
"Steven Spielberg"
"Phil Lord"
"Christopher Miller"
"Renny Harlin"
"John Hughes"
"Justin Baldoni"
"Joe Roth"
"Oliver Twinch"
"Mark Helfrich"
"Mag Hsu"
"Hsu Chih-yen"
"Christopher Nolan"
"Paul Thomas Anderson"
"Nick Castle"
"Howard Zieff"
"Howard Zieff"
"David Feiss"
